,Course Title,Instructors,tags
0,Circuits and Electronics,['KhurramAfridi'],scienc technolog engin and mathemat khurramafridi mitx
1,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag', 'ChrisTerman']",comput scienc ericgrimson johnguttag christerman mitx
2,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
3,Introduction to Computer Science,"['DavidMalan', 'NateHardison', 'RobBowden', 'TommyMacWilliam', 'ZamylaChan']",comput scienc davidmalan natehardison robbowden tommymacwilliam zamylachan harvardx
4,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"['EarlFrancisCook', 'MarcelloPagano']",govern health and social scienc earlfranciscook marcellopagano harvardx
5,Introduction to Computer Science and Programming,['LarryRudolph'],comput scienc larryrudolph mitx
6,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
7,The Challenges of Global Poverty,"['EstherDuflo', 'AbhijitBanerjee']",govern health and social scienc estherduflo abhijitbanerje mitx
8,Electricity and Magnetism,"['WalterLewin', 'JohnBelcher', 'PeterDourmashkin', 'RicardoAbbate', 'SaifRayyan', 'GeorgeStephans', 'IsaacChuang']",scienc technolog engin and mathemat walterlewin johnbelch peterdourmashkin ricardoabb saifrayyan georgestephan isaacchuang mitx
9,Justice,['MichaelSandel'],human histori design religion and educ michaelsandel harvardx
10,Circuits and Electronics,['TaniaKhanna'],scienc technolog engin and mathemat taniakhanna mitx
11,Introduction to Biology: Secret of Life,"['EricLander', 'GrahamWalker', 'BrianWhite', 'Michelle', 'Mischke', 'MaryEllenWiltrout']",scienc technolog engin and mathemat ericland grahamwalk brianwhit michel mischk maryellenwiltrout mitx
12,The Ancient Greek Hero,"['GregNagy', 'L.Muellner']",human histori design religion and educ gregnagi l.muellner harvardx
13,Elements of Structures,"['SimonaSocrate', 'AlexieKolpak']",scienc technolog engin and mathemat simonasocr alexiekolpak mitx
14,Human Health and Global Environmental Change,"['AaronBernstein', 'JackSpengler']",govern health and social scienc aaronbernstein jackspengl harvardx
15,Mechanics ReView,"['DavidPritchard', 'ColinFredericks']",scienc technolog engin and mathemat davidpritchard colinfrederick mitx
16,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
17,The Ancient Greek Hero,['GregNagy'],human histori design religion and educ gregnagi harvardx
18,Classical Mechanics,['WalterLewin'],scienc technolog engin and mathemat walterlewin mitx
19,Introduction to Biology: Secret of Life,['EricLander'],scienc technolog engin and mathemat ericland mitx
20,Innovation and Commercialization,['GeneFitzgerald'],govern health and social scienc genefitzgerald mitx
21,Global Architecture,['MarkJarzombek'],human histori design religion and educ markjarzombek mitx
22,"Central Challenges in American National Security, Strategy and the Press: An Introduction","['GrahamAllison', 'DavidSanger']",govern health and social scienc grahamallison davidsang harvardx
23,"Introduction to Philosophy: God, Knowledge and Consciousness",['CasparHare'],human histori design religion and educ casparhar mitx
24,Science and Cooking: From Haute Cuisine to Soft Matter Science,['MichaelBrenner'],scienc technolog engin and mathemat michaelbrenn harvardx
25,Fundamentals of Clinical Trials,"['JamesWare', 'ElliottAntman', 'JulieBuring', 'GrahamMcMahon', 'MarciaTesta', 'RobertTruog']",govern health and social scienc jameswar elliottantman juliebur grahammcmahon marciatesta roberttruog harvardx
26,Circuits and Electronics,['AnantAgarwal'],scienc technolog engin and mathemat anantagarw mitx
27,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
28,Dynamics and Control I,['DavidGossard'],scienc technolog engin and mathemat davidgossard mitx
29,The Political and Intellectual Foundations of China,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
30,Poetry in America: The Poetry of Early New England,['ElisaNew'],human histori design religion and educ elisanew harvardx
31,Health and Society,['IchiroKawachi'],govern health and social scienc ichirokawachi harvardx
32,Introduction to Computer Science,['DavidMalan'],comput scienc davidmalan harvardx
33,The Creation and End of a Centralized Empire,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
34,Early Christianity: The Letters of Paul,['LauraNasrallah'],human histori design religion and educ lauranasrallah harvardx
35,Poetry in America: Whitman,['ElisaNew'],human histori design religion and educ elisanew harvardx
36,Building Mobile Experiences,"['FrankBentley', 'EdBarrett']",comput scienc frankbentley edbarrett mitx
37,Challenges of World Poverty,"['EstherDuflo', 'AbhijitBanerjee']",govern health and social scienc estherduflo abhijitbanerje mitx
38,Introduction to Probability: The Science of Uncertainty,['JohnTsitsiklis'],scienc technolog engin and mathemat johntsitsikli mitx
39,Cosmopolitan Tang: Aristocratic Culture,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
40,Global Warming Science,['KerryEmanuel'],scienc technolog engin and mathemat kerryemanuel mitx
41,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
42,Global Health: Case Studies from a Biosocial Perspective,"['ArthurKleinman', 'PaulFarmer', 'SalmaanKeshavjee', 'AnneBecker']",govern health and social scienc arthurkleinman paulfarm salmaankeshavje annebeck harvardx
43,The Analytics Edge,['DimitrisBertsimas'],govern health and social scienc dimitrisbertsima mitx
44,Flight Vehicle Aerodynamics,['MarkDrela'],scienc technolog engin and mathemat markdrela mitx
45,Introduction to Computational Thinking and Data Science,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
46,Unlocking the Immunity to Change,"['RobertKegan', 'LisaLahey']",human histori design religion and educ robertkegan lisalahey harvardx
47,Entrepreneurship 101: Who Is Your Customer?,['BillAulet'],govern health and social scienc billaulet mitx
48,A New National Culture,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
49,HarvardX for Alumni: Explorations in Learning,['RobLue'],human histori design religion and educ roblu harvardx
50,Innovating in Health Care,"['ReginaHerzlinger', 'MargoSelzer']",govern health and social scienc reginaherzling margoselz harvardx
51,Evaluating Social Programs,"['RachelGlennerster', 'MarcShotland']",govern health and social scienc rachelglennerst marcshotland mitx
52,Data Analysis for Genomics,['RafaelIrizarry'],govern health and social scienc rafaelirizarri harvardx
53,United States Health Policy,['JohnMcDonough'],govern health and social scienc johnmcdonough harvardx
54,Justice,['MichaelSandel'],human histori design religion and educ michaelsandel harvardx
55,Street Fighting Math,"['SanjoyMahajan', 'IsaacChuang']",scienc technolog engin and mathemat sanjoymahajan isaacchuang mitx
56,From Global Empire to Global Economy,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
57,Big Data and Social Physics,['SandyPentland'],govern health and social scienc sandypentland mitx
58,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
59,The Last Empire,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
60,Mechanics Review,['DavidPritchard'],scienc technolog engin and mathemat davidpritchard mitx
61,Tangible Things,['LaurelUlrich'],human histori design religion and educ laurelulrich harvardx
62,Elements of Structures,['SimonaSocrate'],scienc technolog engin and mathemat simonasocr mitx
63,Introduction to Computer Science and Programming,"['EricGrimson', 'JohnGuttag']",comput scienc ericgrimson johnguttag mitx
64,Quantitative Biology Workshop,['MarryEllenWiltrout'],scienc technolog engin and mathemat marryellenwiltrout mitx
65,Introduction to Biology: Secret of Life,['EricLander'],scienc technolog engin and mathemat ericland mitx
66,Introduction to Biology: Secret of Life,['EricLander'],scienc technolog engin and mathemat ericland mitx
67,Leaders of Learning,['RichardElmore'],human histori design religion and educ richardelmor harvardx
68,Circuits and Electronics,"['AnantAgarwal', 'GeraldSussman', 'PiotrMitros', 'ChrisTerman', 'BonnieLam']",scienc technolog engin and mathemat anantagarw geraldsussman piotrmitro christerman bonnielam mitx
69,Introduction to Computer Science and Programming,['EricGrimson'],comput scienc ericgrimson mitx
70,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,['GregoryNagy'],human histori design religion and educ gregorynagi harvardx
71,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",['JohnW.Dower'],human histori design religion and educ johnw.dow harvardx
72,Mechanical Behavior of Materials,['LornaJ.Gibson'],scienc technolog engin and mathemat lornaj.gibson mitx
